	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-,+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	v	z̪	ʒ	vʲ	zʲ	ʒʲ	ɣ	ɣʲ	8/8	1.0
periodicGlottalSource:-	f	s̪	ʃ	fʲ	sʲ	ʃʲ	x	xʲ	8/8	1.0
	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
