	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-	p	t	k	3/3	1.0
spreadGlottis:+		tʰ		1/3	0.330610450520966
	1/2	2/2	1/2
	0.8874692746427421	1.0	0.8700402367268261
