	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β		ɣ	2/3	0.6887738592961222
periodicGlottalSource:-		s	ʃ	2/3	0.8432068717015412
	1/2	1/2	2/2
	0.33747892892306774	0.7931118804251478	1.0
