	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p	t	t̠ʃ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	1/3	0.6513473424352311
	1/2	1/2	2/2
	0.6996593026933636	0.8562298606560238	1.0
