	labiodental:0;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		dʑ	1/2	0.07583497910198846
periodicGlottalSource:-	ts	tɕ	2/2	1.0
	1/2	2/2
	0.792872961647642	1.0
