	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	ð	z̠	ʝ	ɣ	5/5	1.0
periodicGlottalSource:-	f	θ	s̠	ç	x	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
