	labial:+;coronal:-;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;distributed:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v		1/2	0.23986572530242378
periodicGlottalSource:-		s̪|s	1/2	0.8589073265721896
	1/2	1/2
	0.33745490270910106	0.7904243264901968
