	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-,-,+	labial:-;coronal:+;distributed:0;dorsal:-;front:0;round:0	labial:-,+;coronal:+;distributed:0;dorsal:-;front:0;round:+ | labial:-,-,+;coronal:+;distributed:0;dorsal:-;front:0;round:+	labial:+;coronal:-;distributed:0;dorsal:-,+;front:+;round:-	labial:-;coronal:+;distributed:0;dorsal:-,+;front:+;round:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	pʷ	t̪|t	t̪ʷ|tʷ	pʲ	t̪ʲ|tʲ	k	kʲ	kʷ	9/9	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ		t̪ʰ|tʰ				kʰ			3/9	0.860381349686673
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	mbʷ	n̪d̪|nd	n̪d̪ʷ|ndʷ			ŋɡ		ŋɡʷ	6/9	0.8826558828737044
	3/3	2/3	3/3	2/3	1/3	1/3	3/3	1/3	2/3
	1.0	0.9912987443726851	1.0	0.8530734446688983	0.4498476320573124	0.48741158912465127	1.0	0.44835504329226294	0.875436399900138
