	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive		d	d̠ʒ			2/5	0.40909577674070996
periodicGlottalSource:+;category:fricative				ɣ	ʁ	2/5	0.24240355130617666
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k	q	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	ʃ			2/5	0.6202399825295054
	1/4	3/4	3/4	2/4	2/4
	0.5024236493692108	0.9421433832502606	0.9236936179361749	0.6363693056542636	0.6672229522807662
