	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0 | labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0;strident:+;low:0;front:0	count	markedness_count
periodicGlottalSource:+		ʁ	ɣ	2/3	0.5888553088022039
periodicGlottalSource:-	s		ʃ	2/3	0.9348535890444206
	1/2	1/2	2/2
	0.7931118804251478	0.3041316844647587	1.0
