	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:-;strident:-;lateral:-;distributed:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	ɖ	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
