	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
spreadGlottis:-	s	ʃ	χ	3/3	1.0
spreadGlottis:+	sʰ			1/3	0.9025694411185823
	2/2	1/2	1/2
	1.0	0.9993603176180068	0.9988100995738393
