	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:0;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b					1/5	0.3544771854627382
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ		ɬ̪|ɬ	s		3/5	0.735950985913476
periodicGlottalSource:-;category:affricate|plosive	p	t̪		t̠ʃ	k	4/5	0.9974426502574751
	3/3	1/3	1/3	2/3	1/3
	1.0	0.6561108765674623	0.4541099608052678	0.8787126426110411	0.6228133254237803
