b	d	dz	ɖ	ɡb	ɡ	6/6	1.0
v		z		-		2/5	0.6921069555152513
p	t	ts		kp	k	5/6	0.9583754288129295
f		s		-	x	3/5	0.9255479884608543
4/4	2/4	4/4	1/4	2/2	3/4
1.0	0.9259640488297789	1.0	0.1761936837670244	1.0	0.9477381366921813
