	labial:+;coronal:-;lateral:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β			1/3	0.371580235766392
periodicGlottalSource:-		ɬ	s	2/3	0.7744912521021632
	1/2	1/2	1/2
	0.33745490270910106	0.9025748456519439	0.790762449231698
