	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		1/4	0.5160654849487412
spreadGlottis:+;category:affricate|plosive	pʰ	tʰ			2/4	0.47173955521560496
	2/3	2/3	2/3	1/3
	0.8419869567962608	0.9257349579337878	0.9114972253605753	0.7569545230320556
