	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mp	nt	ɳʈ	ŋk	4/4	1.0
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	ʈ	k	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
