	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t	kp	k	3/4	0.7424540129231068
periodicGlottalSource:+;sonorant:-;nasal:-	b	d		ɡ	3/4	0.9851952673434747
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ	3/4	0.981443988335667
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mp	nt		ŋk	3/4	0.9994587047607332
	3/4	4/4	1/4	4/4
	0.3652715385662904	1.0	0.46864308316372744	1.0
