	t	t̠ʃ	kp	k	4/5	0.7897120016430785
b	d	d̠ʒ		ɡ	4/5	0.9868097989107398
v	z	ʒ	-		3/4	0.7554035777741186
mb	nd	n̠d̠ʒ		ŋɡ	4/5	0.9825596817628324
mp	nt	n̠t̠ʃ		ŋk	4/5	0.9995796728477299
f	s	ʃ	-		3/4	0.801866792995265
5/6	6/6	6/6	1/4	4/6
0.5070604071373236	1.0	1.0	0.46864308316372744	0.823179947712199
