	t	kp	k	3/4	0.7424540129231068
b	d		ɡ	3/4	0.9851952673434747
mb	nd		ŋɡ	3/4	0.981443988335667
mp	nt		ŋk	3/4	0.9994587047607332
3/4	4/4	1/4	4/4
0.3652715385662904	1.0	0.46864308316372744	1.0
