	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-,+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	z̪	ʒ	z̪ʲ		4/5	0.7796174296600948
periodicGlottalSource:-	f	s̪	ʃ		x	4/5	0.978070807249815
	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	0.2627988700880445	0.702580939132563
