	labiodental:0;anterior:+;dorsal:-;round:0	labiodental:0;anterior:-;dorsal:-;round:0	labiodental:0;anterior:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		d̠ʒ		1/3	0.583325761423192
periodicGlottalSource:-	t̪s̪	t̠ʃ	t̪s̪ʲ	3/3	1.0
	1/2	2/2	1/2
	0.8284754134830924	1.0	0.7856231596065144
