		tʼ	kʼ	kʲʼ	kʷʼ	4/6	0.7917354727680073
b	bʷ	d	ɡ	ɡʲ	ɡʷ	6/6	1.0
p	pʷ	t	k	kʲ	kʷ	6/6	1.0
2/3	2/3	3/3	3/3	3/3	3/3
0.9273775259163678	0.8259002302905686	1.0	1.0	1.0	1.0
