	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		d		2/4	0.583110192076
periodicGlottalSource:-	p	t̪	t	k	4/4	1.0
	2/2	1/2	2/2	1/2
	1.0	0.6685432490644522	1.0	0.7131090135848781
