	labial:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	ð	ɣ	3/3	1.0
periodicGlottalSource:-	f	θ	ʃ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
