	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b		d	d̠ʒ		3/5	0.6028379213482336
periodicGlottalSource:+;category:fricative	v	ð			ɣ	3/5	0.6150674888422243
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	θ		ʃ		3/5	0.749439487028317
	4/4	3/4	2/4	3/4	2/4
	1.0	0.8045604757693167	0.941195015445833	0.8968541734687875	0.6411906349382499
