	labial:+;coronal:-;strident:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	ð		2/3	0.4478405679673157
periodicGlottalSource:-		θ	s	2/3	0.7650044769224135
	1/2	2/2	1/2
	0.33745490270910106	1.0	0.7872560914308224
