	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d̪|d			2/4	0.4826554189195139
periodicGlottalSource:-	p	t̪|t	k	kʷ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.7131090135848781	0.8209037735575385
