	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	-	t̠ʃ		kʷ	4/5	0.6931978583616429
periodicGlottalSource:+;category:fricative				z	ɣ		2/6	0.634699695822479
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate|plosive	pʰ	tʰ	-		kʰ		3/5	0.7694314134053974
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate	mb	nd	n̠d̠ʒ	d̠ʒ	ŋɡ	ŋɡʷ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f			s			2/6	0.6717727497488922
	4/5	3/5	1/3	4/5	3/5	2/5
	0.9229740113518837	0.9013742500158113	0.9949995755811694	0.9275619550870516	0.38186994996165147	0.6429584818895476
