	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪		ɡ	3/4	0.906174091262532
periodicGlottalSource:+;category:fricative		z	ʒ		2/4	0.47414581660619604
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̠ʃ	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	ʃ		2/4	0.6012238230715712
	2/4	4/4	3/4	2/4
	0.7765446790726911	1.0	0.8437545509347497	0.8231799477121992
