	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;category:plosive	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;category:affricate | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;category:fricative	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;low:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	bβ	bv	d	dz	d̠ʒ	ɡ		d̪ð	8/9	0.9879618978523601
periodicGlottalSource:+;category:fricative			v		z	ʒ	ɣ			4/9	0.33848220879729457
periodicGlottalSource:-;category:affricate|plosive	p	pɸ	pf	t	ts	t̠ʃ	k		t̪θ	8/9	0.9614107120622793
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			f		s	ʃ	x	χ	ɕ	6/9	0.5683039318252895
	2/4	2/4	4/4	2/4	4/4	4/4	4/4	1/4	3/4
	0.6666666666666666	0.6666666666666666	1.0	0.941195015445833	1.0	1.0	1.0	0.25453203333658175	0.9355820298160474
