	t	kp	c	k	4/5	0.7343141950504313
b	d		ɟ		3/5	0.7231564334139748
mb	nd	ŋmɡb	ɲɟ	ŋɡ	5/5	1.0
2/3	3/3	2/3	3/3	2/3
0.35742956402202924	1.0	0.5190595669597922	1.0	0.7596299433504584
