	d̠ʒ	1/2	0.6255619550656069
ts	t̠ʃ	2/2	1.0
tsʰ	t̠ʃʰ	2/2	1.0
tsʼ	t̠ʃʼ	2/2	1.0
3/4	4/4
0.8464962622027603	1.0
