	labial:+;coronal:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;dorsal:-;high:0;front:0;back:0	labial:+;coronal:-;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:+;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:-;dorsal:+;high:+;front:-,+;back:-	labial:-;coronal:-;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̺	bʲ	dʲ	ɡʲ	ɢ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̺ʰ	pʲʰ	tʲʰ			4/6	0.5984286418203724
	2/2	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	0.7971983583420971	0.6704007829370066
