	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;lateral:-	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:0,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-,-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,+;back:-;retractedTongueRoot:- | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:0,-,+;back:-;retractedTongueRoot:- | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,-,+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;retractedTongueRoot:- | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d̺	bʲ	dʲ	ɡʲ	ɢ		6/7	0.9997757881034477
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̺ʰ	pʲʰ	tʲʰ			-	4/6	0.5908278828154433
periodicGlottalSource:+;category:fricative		z̺		ʒ				2/7	0.4828095909522415
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s̺		ʃ	xʲ	χ	ħ	5/7	0.8167333355168042
	2/4	4/4	2/4	4/4	2/4	2/4	1/3
	0.6106727353755534	1.0	0.5061654790186216	1.0	0.7837294231686696	0.6797533065476044	0.713617098463052
