	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,+;back:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	z̺	ʒ				2/5	0.670358504550499
periodicGlottalSource:-	s̺	ʃ	xʲ	χ	ħ	5/5	1.0
	2/2	2/2	1/2	1/2	1/2
	1.0	1.0	0.7494416309301714	0.6963221182552755	0.7233606974850547
