	labial:+;coronal:-;dorsal:- | labial:+;coronal:-;dorsal:-,+;front:-;round:- | labial:+;coronal:-;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+ | labial:-;coronal:+;dorsal:+;anterior:+;distributed:+;strident:+;front:+ | labial:-;coronal:+;dorsal:+;anterior:-;distributed:+;strident:-;front:+ | labial:-;coronal:+;dorsal:-,+;anterior:-;distributed:+;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive			ɡ	1/3	0.33898809867932916
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β			1/3	0.26975499175017215
	2/3	1/3	2/3
	0.6778798216684456	0.615527389441365	0.9387208212463821
