	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b			ɟ		2/5	0.36451516413771495
periodicGlottalSource:+;loweredLarynxImplosive:+		ɗ		ʄ		2/5	0.49054800623485684
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t̪	ʈ	c	k	5/5	1.0
	2/3	2/3	1/3	3/3	1/3
	0.9673403755413231	0.7046945053160262	0.8174519143642547	1.0	0.7407360402655275
