	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d̪	ɟ		2/4	0.4205548522926426
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+	b̥			ɡ̊	2/4	0.7119878990630923
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:-		t̪	c	k	3/4	0.7409561509652027
periodicGlottalSource:-;spreadGlottis:+	pʰ				1/4	0.2707364286799801
	2/4	2/4	2/4	2/4
	0.10870258377572298	0.8982690975790669	0.8894946276057252	0.6238049398902213
