	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z̪	ʒ	ʁ	4/4	1.0
periodicGlottalSource:-	f	s̪	ʃ	χ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
