	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0;strident:+	count	markedness_count
periodicGlottalSource:+		ʐ	1/2	0.7239782602734067
periodicGlottalSource:-	ʃ	s	2/2	1.0
	1/2	2/2
	0.7783204924998441	1.0
