	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		ɟ	3/4	0.7820044212435358
periodicGlottalSource:+;category:fricative		ʐ			1/4	0.3146175216644034
periodicGlottalSource:-;category:affricate|plosive	p	t	k	t̠ʃ	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s		ʃ	2/4	0.6982228647432511
	2/4	4/4	1/4	3/4
	0.7765446790726911	1.0	0.6107538336565727	0.9289247663132503
