	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
spreadGlottis:-	p	t	k	q	4/4	1.0
spreadGlottis:+	pʰ	tʰ	kʰ		3/4	0.9193156567128182
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.7849575861040311
