	d		d̠ʒ		2/5	0.36518903226346805
ɸ		s	ʃ		3/5	0.7005662678007605
p	t	ts	t̠ʃ	k	5/5	1.0
pʰ	tʰ		t̠ʃʰ	kʰ	4/5	0.8948943458488676
3/4	3/4	2/4	4/4	2/4
0.706834789142773	0.9250688666402864	0.8449184556062536	1.0	0.6274048971311872
