	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d̠ʒ	1/2	0.6160530413775024
periodicGlottalSource:-;spreadGlottis:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+		t̠ʃʰ	1/2	0.44305029406056123
	1/3	3/3
	0.6664668241070316	1.0
