	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d		1/3	0.34483228520557213
periodicGlottalSource:-;spreadGlottis:-	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ	3/3	1.0
	2/3	3/3	2/3
	0.6514229170037719	1.0	0.71950672905944
