	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-,+	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;round:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
spreadGlottis:-	p	pʷ	t̪	ʈ	k	kʷ	6/6	1.0
spreadGlottis:+	pʰ	pʷʰ	t̪ʰ	ʈʰ	kʰ	kʷʰ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
