		kʼ	1/3	0.4685156772845718
b	d	ɡ	3/3	1.0
p	t	k	3/3	1.0
pʰ	tʰ	kʰ	3/3	1.0
3/4	3/4	4/4
0.9261710778540825	0.9236180504779741	1.0
