	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	v	z	ʒʲ	ʁ	ʕ		5/6	0.9724640584143617
periodicGlottalSource:-	f	s	ʃʲ	χ	ħ	χʷ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	1.0	0.8252788987503968
