	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	β		βʲ	ɣ	3/4	0.5129908565477505
periodicGlottalSource:-		s			1/4	0.6254660441813421
	1/2	1/2	1/2	1/2
	0.33747892892306774	0.7903072196662834	0.5371499261682682	0.295892202365961
