	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+ | labial:+;coronal:-;dorsal:-;front:0;round:-,-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:+;coronal:-;dorsal:-,+;front:+;round:- | labial:+;coronal:-;dorsal:-,-,+;front:+;round:-	labial:-;coronal:+;dorsal:-,+;front:+;round:0 | labial:-;coronal:+;dorsal:-,-,+;front:+;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	pʷ	t	pʲ	tʲ	k	kʷ	7/7	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	mbʷ	nd	mbʲ	ndʲ	ŋɡ	ŋɡʷ	7/7	1.0
	2/2	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0	1.0
