	d̠ʒ			1/4	0.6061990775269153
ts	t̠ʃ	tsʷ	t̠ʃʷ	4/4	1.0
tsʰ	t̠ʃʰ	tsʷʰ	t̠ʃʷʰ	4/4	1.0
2/3	3/3	2/3	2/3
0.840054901729932	1.0	0.9817754066195915	0.7137115433530467
