	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɟ	ɡ			4/6	0.98241270652543
periodicGlottalSource:-;spreadGlottis:-	p	t	c	k	cʷ	q	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	cʰ	kʰ	cʷʰ	qʰ	6/6	1.0
	3/3	3/3	3/3	3/3	2/3	2/3
	1.0	1.0	1.0	1.0	0.9802458050395645	0.8827919327329687
