	labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	t	t̠ʃ	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		1/3	0.6328215577613433
	1/2	2/2	1/2
	0.8562298606560238	1.0	0.752767524145593
