b		d	d̠ʒ	ɟ	ɡ	ɢ	6/7	0.9982001427960837
	ɬ		s				2/7	0.5636006374107035
p		t	t̠ʃ	c		q	5/7	0.760001603417938
2/3	1/3	2/3	3/3	2/3	1/3	2/3
0.8422003355427999	0.5953324165875787	0.9575650832439423	1.0	0.8821472665701419	0.25115142866020335	0.7147779946550639
