	labial:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;distributed:-,+;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-,+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	t̪	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ		s	x	3/4	0.9637344585635353
	2/2	1/2	2/2	2/2
	1.0	0.9160688481565336	1.0	1.0
