b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
f	s	ʃ	-		3/4	0.7995231840960895
	t		kp	k	3/5	0.6948041636632559
2/3	3/3	2/3	2/2	2/3
0.45512437056774824	1.0	0.4670100673830688	1.0	0.8704935942677532
