	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d	d̠ʒ		3/4	0.6921131505696226
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative			sʼ		1/4	0.4592647881000481
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative			sʰ		1/4	0.8699144552468699
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	pʰ	tʰ	t̠ʃʰ	kʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ	tʼ	t̠ʃʼ	kʼ	4/4	1.0
	3/5	3/5	5/5	2/5
	0.9936694751594252	0.9892670274450325	1.0	0.4672033566826842
