	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z			1/3	0.4811761888062417
periodicGlottalSource:-	s	ʃ	x	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7783204924998441	0.7044347480298516
