	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+			z		ʁ	2/5	0.5932470146883698
periodicGlottalSource:-	ɸ	f	s	ʃ	χ	5/5	1.0
	1/2	1/2	2/2	1/2	2/2
	0.45209979230373554	0.7609966566285796	1.0	0.7783204924998441	1.0
