	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ɬ	s	ʃ			3/5	0.7031888227296984
periodicGlottalSource:+;sonorant:-;nasal:-	ɮ	z	ʒ	ɣ	ɣʷ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nz				1/5	0.8539720444755382
	2/3	3/3	2/3	1/3	1/3
	0.9999104114192099	1.0	0.9999764331072745	0.29516743376025634	0.17397306737993523
