	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+;front:+ | labial:-;coronal:+;anterior:+;distributed:-;dorsal:0,-,+;front:+ | labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,-,+;front:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-,+;front:+;strident:- | labial:-;coronal:+;anterior:+;distributed:+;dorsal:0,-,+;front:+;strident:- | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-,-,+;front:+;strident:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:-,+;sonorant:-,+;nasal:-,+;category:plosive	-	-	-	-	-	ȶȵ	kŋ	2/2	1.0
periodicGlottalSource:+;sonorant:-,+;nasal:-,+;category:plosive	bm	d̪n̪	dn	ɖɳ	-	-	-	4/4	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	p	t̪	t	ʈ	tʲ		k	6/7	0.9615414480172355
	2/2	2/2	2/2	2/2	1/1	1/2	2/2
	1.0	1.0	1.0	1.0	1.0	0.0001192004872427416	1.0
