	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-,+;sonorant:-,+;nasal:-,+	-	-	-	-	-	ȶȵ	kŋ	2/2	1.0
periodicGlottalSource:+;sonorant:-,+;nasal:-,+	bm	d̪n̪	dn	ɖɳ	-	-	-	4/4	1.0
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪	t	ʈ	tʲ		k	6/7	0.9615414480172355
	2/2	2/2	2/2	2/2	1/1	1/2	2/2
	1.0	1.0	1.0	1.0	1.0	0.0001192004872427416	1.0
