p	t	k		3/4	0.9690668063248878
	tʰ	kʰ	kʷʰ	3/4	0.7459474719889144
	tʼ	kʼ		2/4	0.7085677111000523
1/3	3/3	3/3	1/3
0.8127011880546011	1.0	1.0	0.12572603416364683
